TIME,AMOUNT,DeltaLog10CFU,Log10CFU,ID,CONC,STRN
0,0.1,,,1,0.1,E19977
0,,0,6,1,0.1,E19977
5,,1.2127,7.2127,1,0.1,E19977
24,,3.0950,9.0950,1,0.1,E19977
0,1,,,2,1,E19977
0,,0,6,2,1,E19977
5,,0.1629,6.1629,2,1,E19977
24,,0.2715,6.2715,2,1,E19977
0,10,,,3,10,E19977
0,,0,6,3,10,E19977
5,, -0.0543,5.9457,3,10,E19977
24,, -0.4163,5.5877,3,10,E19977
0,100,,,4,100,E19977
0,,0,6,4,100,E19977
5,, -0.2353,5.7647,4,100,E19977
24,, -0.5611,5.439,4,100,E19977
0,0.1,,,5,0.1,ATCC 25923
0,,0,6,5,0.1,ATCC 25923
5,,1.1872,7.1872,5,0.1,ATCC 25923
24,,3.1963,9.1963,5,0.1,ATCC 25923
0,1,,,6,1,ATCC 25923
0,,0,6,6,1,ATCC 25923
5,,0.0183,6.0183,6,1,ATCC 25923
24,,0.6393,6.6393,6,1,ATCC 25923
0,10,,,7,10,ATCC 25923
0,,0,6,7,10,ATCC 25923
5,, -0.3470,5.653,7,10,ATCC 25923
24,, -0.5662,5.4338,7,10,ATCC 25923
0,100,,,8,100,ATCC 25924
0,,0,6,8,100,ATCC 25925
5,, -0.3836,5.6164,8,100,ATCC 25926
24,, -0.7489,5.2511,8,100,ATCC 25927
